"Notes"	"State"	"State Code"	"Disease"	"Disease Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Count	Population	Rate
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"1990"	"1990"	3	2109548	0.14
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"1993"	"1993"	7	2190193	0.32
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"1994"	"1994"	8	2212954	0.36
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"1995"	"1995"	5	2230497	0.22
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"1998"	"1998"	1	2281866	0.04
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"2000"	"2000"	1	2303083	0.04
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"2010"	"2010"	1	2459548	0.04
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"2012"	"2012"	1	2483466	0.04
	"Alabama"	"01"	"Chancroid"	"273"	"Female"	"F"	"2013"	"2013"	1	2488375	0.04
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1988"	"1988"	1	1928893	0.05
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1990"	"1990"	9	1940507	0.46
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1993"	"1993"	16	2024009	0.79
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1994"	"1994"	16	2047275	0.78
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1995"	"1995"	2	2066303	0.10
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1997"	"1997"	1	2103125	0.05
	"Alabama"	"01"	"Chancroid"	"273"	"Male"	"M"	"1999"	"1999"	1	2136882	0.05
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1985"	"1985"	52	2067440	2.52
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1994"	"1994"	425	2212954	19.21
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1995"	"1995"	2888	2230497	129.48
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1996"	"1996"	7623	2247223	339.22
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1997"	"1997"	7957	2264810	351.33
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1998"	"1998"	9197	2281866	403.05
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"1999"	"1999"	11524	2293259	502.52
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2000"	"2000"	13746	2303083	596.85
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2001"	"2001"	13375	2309859	579.04
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2002"	"2002"	13988	2317373	603.62
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2003"	"2003"	12977	2321588	558.97
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2004"	"2004"	11685	2333974	500.65
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2005"	"2005"	14532	2346146	619.40
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2006"	"2006"	17915	2369561	756.05
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2007"	"2007"	19186	2385726	804.20
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2008"	"2008"	18744	2403813	779.76
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2009"	"2009"	19413	2427096	799.85
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2010"	"2010"	20030	2459548	814.38
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2011"	"2011"	21217	2473249	857.86
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2012"	"2012"	22099	2483466	889.85
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2013"	"2013"	21096	2488375	847.78
	"Alabama"	"01"	"Chlamydia"	"274"	"Female"	"F"	"2014"	"2014"	20619	2488375	828.61
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1994"	"1994"	68	2047275	3.32
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1995"	"1995"	285	2066303	13.79
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1996"	"1996"	662	2083879	31.77
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1997"	"1997"	708	2103125	33.66
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1998"	"1998"	844	2122835	39.76
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"1999"	"1999"	795	2136882	37.20
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2000"	"2000"	1432	2148892	66.64
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2001"	"2001"	1124	2159053	52.06
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2002"	"2002"	1579	2169135	72.79
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2003"	"2003"	1201	2179164	55.11
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2004"	"2004"	1603	2196208	72.99
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2005"	"2005"	2507	2211662	113.35
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2006"	"2006"	4985	2229469	223.60
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2007"	"2007"	5955	2242125	265.60
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2008"	"2008"	6007	2258087	266.02
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2009"	"2009"	6508	2281612	285.24
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2010"	"2010"	6877	2320188	296.40
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2011"	"2011"	7648	2329491	328.31
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2012"	"2012"	8295	2338557	354.71
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2013"	"2013"	8201	2345347	349.67
	"Alabama"	"01"	"Chlamydia"	"274"	"Male"	"M"	"2014"	"2014"	8318	2345347	354.66
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1994"	"1994"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1995"	"1995"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1996"	"1996"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1997"	"1997"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1998"	"1998"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"1999"	"1999"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2000"	"2000"	145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2001"	"2001"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2002"	"2002"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2003"	"2003"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2004"	"2004"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2005"	"2005"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2006"	"2006"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2007"	"2007"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2008"	"2008"	9	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2009"	"2009"	8	Not Applicable	Not Applicable
